"replicate" "day" "dilution" "initial_density" "value" "extinction"
"rep_4" 2 1266 "dens_1" 1.1652062 FALSE
"rep_5" 2 1266 "dens_1" 1.0963055 FALSE
"rep_6" 2 1266 "dens_1" 1.189363 FALSE
"rep_7" 2 1266 "dens_1" 1.1232055 FALSE
"rep_8" 2 1266 "dens_1" 1.1088115 FALSE
"rep_1" 2 1400 "dens_1" 0.92283989 FALSE
"rep_2" 2 1400 "dens_1" 0.97390495 FALSE
"rep_3" 2 1400 "dens_1" 1.0645204 FALSE
"rep_4" 2 1400 "dens_1" 1.1070199 FALSE
"rep_5" 2 1400 "dens_1" 1.0246649 FALSE
"rep_6" 2 1400 "dens_1" 0.92772212 FALSE
"rep_7" 2 1400 "dens_1" 0.99067469 FALSE
"rep_8" 2 1400 "dens_1" 0.93261692 FALSE
"rep_1" 2 1600 "dens_1" 0.89060841 FALSE
"rep_2" 2 1600 "dens_1" 0.94408742 FALSE
"rep_3" 2 1600 "dens_1" 0.90343546 FALSE
"rep_4" 2 1600 "dens_1" 0.88741513 FALSE
"rep_5" 2 1600 "dens_1" 0.9131129 FALSE
"rep_6" 2 1600 "dens_1" 0.8573437 FALSE
"rep_7" 2 1600 "dens_1" 0.84014901 FALSE
"rep_8" 2 1600 "dens_1" 0.93588715 FALSE
"rep_1" 3 250 "dens_1" 1.6058701 FALSE
"rep_2" 3 250 "dens_1" 1.7534937 FALSE
"rep_3" 3 250 "dens_1" 1.6577988 FALSE
"rep_4" 3 250 "dens_1" 1.738454 FALSE
"rep_5" 3 250 "dens_1" 1.6058701 FALSE
"rep_6" 3 250 "dens_1" 1.7111868 FALSE
"rep_7" 3 250 "dens_1" 1.6770395 FALSE
"rep_8" 3 250 "dens_1" 1.6891646 FALSE
"rep_1" 3 500 "dens_1" 1.4906834 FALSE
"rep_2" 3 500 "dens_1" 1.5440202 FALSE
"rep_3" 3 500 "dens_1" 1.5689758 FALSE
"rep_4" 3 500 "dens_1" 1.6175481 FALSE
"rep_5" 3 500 "dens_1" 1.5804285 FALSE
"rep_6" 3 500 "dens_1" 1.5942635 FALSE
"rep_7" 3 500 "dens_1" 1.5873334 FALSE
"rep_8" 3 500 "dens_1" 1.5440202 FALSE
"rep_1" 3 750 "dens_1" 1.438803 FALSE
"rep_2" 3 750 "dens_1" 1.3883017 FALSE
"rep_3" 3 750 "dens_1" 1.4218196 FALSE
"rep_4" 3 750 "dens_1" 1.4580925 FALSE
"rep_5" 3 750 "dens_1" 1.4667289 FALSE
"rep_6" 3 750 "dens_1" 1.4863055 FALSE
"rep_7" 3 750 "dens_1" 1.4906834 FALSE
"rep_8" 3 750 "dens_1" 1.4972692 FALSE
"rep_1" 3 1000 "dens_1" 1.1818974 FALSE
"rep_2" 3 1000 "dens_1" 1.2773949 FALSE
